RC	UFI	UNI	LAT	LONG	DMS_LAT	DMS_LONG	MGRS	JOG	FC	DSG	PC	CC1	ADM1	ADM2	POP	ELEV	CC2	NT	LC	SHORT_FORM	GENERIC	SORT_NAME	FULL_NAME	FULL_NAME_ND	MODIFY_DATE
1	-2148101	-2979348	51.35	4.1	512100	40600	31UES7660389322	NM31-03	P	PPL		NL	10					V				KRUISPOLDERKAAI	Kruispolderkaai	Kruispolderkaai	1994-01-08
1	-2152928	-2985318	51.45	3.9	512700	35400	31UET6253900253	NM31-02	P	PPL		NL	10					N				SGRAVENPOLDER	’s-Gravenpolder	's-Gravenpolder	1994-01-08
1	-2149588	-2981171	51.683333	5.8	514100	54800	31UFT9355729531	NM31-03	P	PPL		NL	06					N				MOLENGAT	Molengat	Molengat	1994-01-08
1	-2151490	-2983495	51.433333	3.766667	512600	34600	31UES5329498294	NM31-02	H	STMC		NL	10					N				OVEZANDSCHEWATERGANG	Ovezandsche Watergang	Ovezandsche Watergang	1994-01-08
1	-2148351	-2979647	53.1	5.616667	530600	53700	31UFU7518386595	NN31-09	T	PLDR		NL	02					N				POLDERLANGEMEREN	Polder Lange Meren	Polder Lange Meren	1994-01-08
1	-2151879	-2973083	52.5	4.983333	523000	45900	31UFU3462818501	NN31-12	P	PPL		NL	07					V				DEPURMER	De Purmer	De Purmer	1994-01-08
1	-2148815	-2980229	52.083333	5.016667	520500	50100	31UFT3818172226	NN31-12	S	BDG		NL	09					N				LOOBRUG	Loobrug	Loobrug	1994-01-08
1	-2141583	-2971056	52.35	6.7	522100	64200	32ULD4334902457	NN32-10	P	PPL		NL	15					N				BOLKSHOEK	Bolkshoek	Bolkshoek	1994-01-08
1	-2143870	-2974020	53.133333	6.566667	530800	63400	32ULD3721589869	NN32-07	A	ADM2		NL	01					H		Eelde	Gemeente	GEMEENTEEELDE	Gemeente Eelde	Gemeente Eelde	2007-02-14
1	-2150064	-2981766	52.983333	6.016667	525900	60100	32UKD9973574581	NN32-10	P	PPL		NL	02					N				NIEUWEVAART	Nieuwe Vaart	Nieuwe Vaart	1994-01-08
1	-2151591	-2983628	53.166667	6.566667	531000	63400	32ULD3734193576	NN32-07	P	PPL		NL	01					N				PATERSWOLDE	Paterswolde	Paterswolde	1994-01-08
1	-2146490	-2977380	53.166667	7	531000	70000	32ULD6630492679	NN32-07	H	CNL		NL	04					N				HOOFDWIJK	Hoofdwijk	Hoofdwijk	1994-01-08
1	-2144652	-2974991	51.883333	5.283333	515300	51700	31UFT5714950526	NM31-03	P	PPLX		NL	03					N				GELDERMALSENWEST	Geldermalsen-West	Geldermalsen-West	1994-01-08
1	-2152994	-2985408	51.816667	5.85	514900	55100	31UFT9643344489	NM31-03	P	PPLX		NL	03					N				SINTANNA	Sint Anna	Sint Anna	1994-01-08
1	-2151896	-2984011	51.383333	4.433333	512300	42600	31UES9974393429	NM31-03	H	LK		NL	00				NL	N				PUTSEMOER	Putse Moer	Putse Moer	1994-04-28
1	-2150516	-2982314	52.783333	6.466667	524700	62800	32ULD2915251177	NN32-10	V	HTH		NL	01					N				NUILERVELD	Nuilerveld	Nuilerveld	1994-01-08
1	-2155405	-2988442	53.133333	5.75	530800	54500	31UFU8396590636	NN31-09	L	LCTY		NL	02					N				WEIDUMERNIEUWLAND	Weidumernieuwland	Weidumernieuwland	1994-01-08
1	-2155730	-2988825	52	6.116667	520000	60700	32ULC0207864964	NN32-10	S	EST		NL	03					N				WIELBERGEN	Wielbergen	Wielbergen	1994-01-08
1	-2146499	-2977390	51.916667	5.5	515500	53000	31UFT7193254723	NM31-03	P	PPL		NL	03					N				HOOGBROEK	Hoogbroek	Hoogbroek	1994-01-08
1	-2143191	-2984633	51.566667	5.25	513400	51500	31UFT5594215243	NM31-03	H	STM		NL	06					V				ROSEP	Rosep	Rosep	1994-01-08
1	-2154569	-2987337	51.616667	5.55	513700	53300	31UFT7653721485	NM31-03	P	PPL		NL	06					V				VECHEL	Vechel	Vechel	1994-01-08
1	-2156584	-2989653	51.7	5.016667	514200	50100	31UFT3936229597	NM31-03	S	CSTL		NL	06					V				ZIJDWINDE	Zijdwinde	Zijdwinde	1994-01-08
1	-2148632	-2979998	53.333333	5.916667	532000	55500	31UFV9420413318	NN31-09	P	PPL		NL	02					N				LICHTAARD	Lichtaard	Lichtaard	1994-01-08
1	-2153446	-2985964	52.55	6.4	523300	62400	32ULD2372025390	NN32-10	S	FRM		NL	15					N				STAMMERSHOEVE	Stammershoeve	Stammershoeve	1994-01-08
1	-2150153	-2981866	53.216667	6.95	531300	65700	32ULD6312298335	NN32-07	P	PPL		NL	04					N				NIEUWSCHEEMDA	Nieuw-Scheemda	Nieuw-Scheemda	1994-01-08
1	-2150893	-2982792	51.883333	5.083333	515300	50500	31UFT4338650114	NM31-03	P	PPL		NL	11					N				OOSTERWIJK	Oosterwijk	Oosterwijk	1994-01-08
1	-2155755	-2988855	52.916667	4.983333	525500	45900	31UFU3335164842	NN31-12	L	AREA		NL	07					N				WIERINGEN	Wieringen	Wieringen	1994-01-08
1	-2143274	-2973243	51.416667	5.866667	512500	55200	31UFT9932700061	NM31-03	V	HTH		NL	06					N				DEURNSEPEEL	Deurnse Peel	Deurnse Peel	1994-01-08
1	-2150617	-2982441	53.266667	6.366667	531600	62200	32ULE2438405171	NN32-07	P	PPL		NL	04					N				OKSWERD	Okswerd	Okswerd	1994-01-08
1	-2147714	-2978885	52.683333	6.183333	524100	61100	32ULD0961340768	NN32-10	P	PPLX		NL	01					N				KOEDIJKSLANDEN	Koedijkslanden	Koedijkslanden	1994-01-08
1	-2144058	-2974265	52.716667	6.783333	524300	64700	32ULD5027743058	NN32-10	P	PPL		NL	01					N				ELDIJK	Eldijk	Eldijk	1994-01-08
